Player,Pos,Team,Rank,Fan Pts,Cur Team,Owner,Draft Team,Draft Owner,Rd,Pick,ADP,% Draft,GP,G,A,P,PIM,SOG,HIT,BLK,W,SV,SV%,GA,SO,% Own,Fan Pts/GP,ID
Adam Edstrom,C,NYR,637,43.30,,,,,,,,,24,2,2,4,2,21,48,13,,,,,,,1.80,465.p.8438
Henri Jokiharju,D,BOS,638,43.30,,,,,,,,,28,0,8,8,10,27,15,20,,,,,,,1.55,465.p.7544
Philippe Myers,D,TOR,639,43.10,,,,,,,,,23,0,2,2,14,24,36,29,,,,,,,1.87,465.p.6965
Connor Clifton,D,PIT,640,42.90,,,,,,,,,15,0,0,0,10,12,63,26,,,,,,1.0,2.86,465.p.6113
Kevin Hayes,C,PIT,641,42.90,,,,,,,,,22,3,2,5,6,38,26,7,,,,,,,1.95,465.p.4984
Curtis Douglas,C,TB,642,42.75,,,,,,,,,27,0,2,2,75,15,29,6,,,,,,,1.58,465.p.8003
Josh Dunne,C,BUF,643,42.65,,,,,,,,,27,1,3,4,29,23,31,12,,,,,,,1.58,465.p.8856
Elvis Merzlikins,G,CBJ,644,42.60,Dartmouth Mustard Tigers 🌭🐅,Cameron,,,,,,,15,,,,,,,,6,413,0.877,58,0,5.0,2.84,465.p.6445
Samuel Montembeault,G,MTL,645,42.20,,,DubJ,John,11,154,106.4,1.0,16,,,,,,,,8,371,0.869,56,0,36.0,2.64,465.p.6819
Ryan McDonagh,D,TB,646,42.00,,,,,,,,,18,4,4,8,0,17,9,29,,,,,,3.0,2.33,465.p.4251
Trevor van Riemsdyk,D,WSH,647,42.00,,,,,,,,,33,1,5,6,12,18,3,44,,,,,,,1.27,465.p.6340
Lars Eller,C,OTT,648,41.90,,,,,,,,,30,2,4,6,6,25,22,19,,,,,,,1.40,465.p.4252
Zack Ostapchuk,C,SJ,649,41.80,,,,,,,,,22,2,1,3,4,19,56,7,,,,,,,1.90,465.p.8914
Nikolas Matinpalo,D,OTT,650,41.70,,,,,,,,,29,0,4,4,10,19,26,33,,,,,,,1.44,465.p.30525
Vincent Desharnais,D,SJ,651,41.60,,,,,,,,,20,0,2,2,32,12,28,34,,,,,,,2.08,465.p.7288
Vincent Hinostroza,C,MIN,652,40.70,,,,,,,,,33,2,4,6,6,27,24,12,,,,,,,1.23,465.p.5859
Brandon Carlo,D,TOR,653,40.70,,,,,,,,,21,0,3,3,6,25,17,41,,,,,,,1.94,465.p.6779
Cole Reinhardt,LW,VGK,654,40.60,,,,,,,,,28,1,3,4,8,17,52,5,,,,,,,1.45,465.p.8819
Oskar Back,C,DAL,655,40.50,,,,,,,,,35,3,4,7,6,20,15,20,,,,,,,1.16,465.p.7973
Elmer Soderblom,LW,DET,656,40.40,,,,,,,,,26,2,1,3,8,29,40,7,,,,,,,1.55,465.p.8436
Hendrix Lapierre,C,WSH,657,40.40,,,,,,,,,42,0,6,6,8,32,23,11,,,,,,,0.96,465.p.8662
Kailer Yamamoto,RW,UTA,658,40.00,,,,,,,,,27,4,5,9,8,20,14,6,,,,,,,1.48,465.p.7537
Matt Rempe,RW,NYR,659,39.95,,,,,,,,,21,1,0,1,7,13,70,5,,,,,,,1.90,465.p.8804
Jacob Melanson,RW,SEA,660,39.80,,,,,,,,,14,1,3,4,0,11,61,5,,,,,,,2.84,465.p.9006
Jani Nyman,RW,SEA,661,39.50,,,,,,,,,24,4,2,6,6,31,20,4,,,,,,,1.65,465.p.31768
Anthony Stolarz,G,TOR,662,39.40,Ryan is Aho,Mitchell,Ross' Rink Rats,Ross,8,108,60.3,1.0,13,,,,,,,,6,312,0.884,41,0,56.0,3.03,465.p.5734
Shakir Mukhamadullin,D,SJ,663,39.40,,,,,,,,,23,2,4,6,12,18,11,27,,,,,,,1.71,465.p.8660
Nathan Bastian,RW,DAL,664,39.10,,,,,,,,,21,3,0,3,10,14,50,5,,,,,,,1.86,465.p.7149
Curtis Lazar,C,EDM,665,38.70,,,,,,,,,23,3,0,3,2,12,49,12,,,,,,,1.68,465.p.5996
Jonathan Quick,G,NYR,666,38.40,,,,,,,,,12,,,,,,,,3,302,0.899,34,1,19.0,3.20,465.p.4147
Landon Slaggert,LW,CHI,667,37.90,,,,,,,,,19,2,2,4,14,18,36,7,,,,,,,1.99,465.p.30914
Matt Duchene,"C,RW",DAL,668,37.90,Bangers and Mash,conor,Bangers and Mash,conor,8,106,131.3,1.0,20,3,6,9,2,26,6,9,,,,,,42.0,1.90,465.p.4683
Josh Mahura,D,SEA,669,37.40,,,,,,,,,20,1,2,3,16,12,22,32,,,,,,,1.87,465.p.7193
William Karlsson,C,VGK,670,37.40,,,,,,,,,14,4,3,7,4,30,3,13,,,,,,4.0,2.67,465.p.5421
John Beecher,C,CGY,671,37.05,,,,,,,,,25,1,2,3,29,21,18,18,,,,,,,1.48,465.p.8308
David Tomasek,RW,EDM,672,36.70,,,,,,,,,22,3,2,5,10,30,17,6,,,,,,,1.67,465.p.33751
Ryan Strome,C,ANA,673,36.45,,,,,,,,,24,2,4,6,21,28,12,3,,,,,,,1.52,465.p.5366
Jacob Fowler,G,MTL,674,36.20,Eichel Power,Bruce,,,,,,,9,,,,,,,,4,216,0.908,22,1,25.0,4.02,465.p.30201
Nate Danielson,C,DET,675,36.20,,,,,,,,,28,2,5,7,4,31,8,9,,,,,,,1.29,465.p.30553
Pavol Regenda,LW,SJ,676,36.20,Kiril’s KaprizHog,Eric,,,,,,,7,6,0,6,4,22,18,3,,,,,,5.0,5.17,465.p.9264
Pyotr Kochetkov,G,CAR,677,36.00,,,Bangers and Mash,conor,14,190,109.4,1.0,8,,,,,,,,6,170,0.899,19,1,30.0,4.50,465.p.8314
Nick Lardis,LW,CHI,678,35.90,,,,,,,,,14,4,1,5,6,24,24,3,,,,,,,2.56,465.p.30348
Colten Ellis,G,BUF,679,35.80,,,,,,,,,9,,,,,,,,5,234,0.900,26,0,2.0,3.98,465.p.8371
