Player Name,Position,NHL Team,Fantasy Points,Current Team,Current Owner,Drafted Team,Drafted By,Draft Round,Draft Pick,ADP,Pct Drafted,Goals,Assists,Points,PIM,SOG,Hits,Blocks,Games Played,Wins,Saves,Save %,GA,Shutouts,Pct Owned
Nicholas Robertson,LW,TOR,8.1,,,,,,,,,,,,,,,,,,,,,,3.0
Christian Jaros,D,CBJ,8.0,,,,,,,,,,,,,,,,,,,,,,
Buddy Robinson,RW,CHI,8.0,,,,,,,,,,,,,,,,,,,,,,
Dominik Simon,"LW,RW",ANA,8.0,,,,,,,,,,,,,,,,,,,,,,
Tony DeAngelo,D,NYI,7.8,,,Goonsquad,Johnathan,16,124,108.5,1.0,,,,,,,,,,,,,,18.0
Michael Sgarbossa,C,WSH,7.8,,,,,,,,,,,,,,,,,,,,,,
Carsen Twarynski,LW,VAN,7.7,,,,,,,,,,,,,,,,,,,,,,
Rasmus Kupari,C,WPG,7.7,,,,,,,,,,,,,,,,,,,,,,
Tyler Lewington,D,BOS,7.6,,,,,,,,,,,,,,,,,,,,,,
Marc Michaelis,LW,VAN,7.5,,,,,,,,,,,,,,,,,,,,,,
Drew O'Connor,LW,VAN,7.4,,,,,,,,,,,,,,,,,,,,,,
Nic Petan,"LW,RW",MIN,7.4,,,,,,,,,,,,,,,,,,,,,,
Aaron Dell,G,SJ,7.4,,,,,,,,,,,,,,,,,,,,,,1.0
Sebastian Aho,D,PIT,7.3,,,,,,,,,,,,,,,,,,,,,,
Glenn Gawdin,C,LA,7.1,,,,,,,,,,,,,,,,,,,,,,
Joseph Cramarossa,"C,LW",MIN,7.1,,,,,,,,,,,,,,,,,,,,,,
Ville Heinola,D,WPG,7.0,,,,,,,,,,,,,,,,,,,,,,1.0
Oskar Steen,C,BOS,6.7,,,,,,,,,,,,,,,,,,,,,,
Jacob Bernard-Docker,D,DET,6.6,,,,,,,,,,,,,,,,,,,,,,
Michael McCarron,"C,RW",NSH,6.5,,,,,,,,,,,,,,,,,,,,,,
Dakota Mermis,D,TOR,6.4,,,,,,,,,,,,,,,,,,,,,,
Greg McKegg,"C,LW",EDM,6.3,,,,,,,,,,,,,,,,,,,,,,
Eric Comrie,G,WPG,6.0,,,,,,,,,,,,,,,,,,,,,,
Oliver Kylington,D,CAR,5.9,,,,,,,,,,,,,,,,,,,,,,
Noah Juulsen,D,PHI,5.7,,,,,,,,,,,,,,,,,,,,,,
Patrick Brown,"C,RW",BOS,5.6,,,,,,,,,,,,,,,,,,,,,,
Antti Suomela,C,SJ,5.6,,,,,,,,,,,,,,,,,,,,,,
Parker Kelly,C,COL,5.5,,,,,,,,,,,,,,,,,,,,,,
Ryan McLeod,C,BUF,5.4,,,,,,,,,,,,,,,,,,,,,,
Vinni Lettieri,"C,RW",TOR,5.3,,,,,,,,,,,,,,,,,,,,,,
Tanner Laczynski,C,VGK,5.3,,,,,,,,,,,,,,,,,,,,,,
Zac Rinaldo,"C,LW",CGY,5.1,,,,,,,,,,,,,,,,,,,,,,
Klim Kostin,"C,LW",SJ,5.1,,,,,,,,,,,,,,,,,,,,,,
Christopher Gibson,G,SEA,5.0,,,,,,,,,,,,,,,,,,,,,,1.0
Tyce Thompson,RW,NYI,4.9,,,,,,,,,,,,,,,,,,,,,,
Ben Thomas,D,TB,4.9,,,,,,,,,,,,,,,,,,,,,,
Peyton Krebs,C,BUF,4.9,,,,,,,,,,,,,,,,,,,,,,1.0
Cayden Primeau,G,TOR,4.8,,,,,,,,,,,,,,,,,,,,,,2.0
Sonny Milano,LW,WSH,4.8,,,,,,,,,,,,,,,,,,,,,,
Matt Kiersted,D,MIN,4.8,,,,,,,,,,,,,,,,,,,,,,
Dominic Toninato,"C,LW",CHI,4.8,,,,,,,,,,,,,,,,,,,,,,
Joachim Blichfeld,"LW,RW",SJ,4.8,,,,,,,,,,,,,,,,,,,,,,
Adam Ruzicka,C,CGY,4.6,,,,,,,,,,,,,,,,,,,,,,
Stuart Skinner,G,EDM,4.6,,,,,,,,,,,,,,,,,,,,,,
Madison Bowey,D,NYR,4.5,,,,,,,,,,,,,,,,,,,,,,
Justin Richards,C,CBJ,4.5,,,,,,,,,,,,,,,,,,,,,,
Mitchell Stephens,C,SEA,4.3,,,,,,,,,,,,,,,,,,,,,,
Hudson Fasching,RW,CBJ,4.1,,,,,,,,,,,,,,,,,,,,,,
Kole Lind,RW,DAL,4.0,,,,,,,,,,,,,,,,,,,,,,
Oscar Dansk,G,ANA,4.0,,,,,,,,,,,,,,,,,,,,,,
Andy Andreoff,LW,NYI,3.8,,,,,,,,,,,,,,,,,,,,,,
Stefan Noesen,RW,NJ,3.6,,,,,,,,,,,,,,,,,,,,,,
Hunter Miska,G,COL,3.6,,,,,,,,,,,,,,,,,,,,,,
David Farrance,D,NSH,3.5,,,,,,,,,,,,,,,,,,,,,,
Micheal Haley,"C,LW",OTT,3.5,,,,,,,,,,,,,,,,,,,,,,
Alex Belzile,RW,MTL,3.5,,,,,,,,,,,,,,,,,,,,,,
Austin Poganski,RW,UTA,3.5,,,,,,,,,,,,,,,,,,,,,,
Jack Ahcan,D,COL,3.3,,,,,,,,,,,,,,,,,,,,,,
